Mã dịch vụ,Thời gian thanh toán,Các dịch vụ tiên quyết,Giá (VNĐ),Chu kỳ (ngày),4G tốc độ tiêu chuẩn/ngày,4G tốc độ cao/ngày,4G tốc độ tiêu chuẩn/chu kỳ,4G tốc độ cao/chu kỳ,Gọi nội mạng,Gọi ngoại mạng,Tin nhắn,Chi tiết,Tự động gia hạn,Cú pháp đăng ký
SD70,Trả trước,,70000,30,1,0,30,0,,,,,Có,SD70 DK8 gửi 290
V90B,Trả trước,,90000,30,0,1,0,30,Miễn phí các cuộc gọi dưới 10 phút,Miễn phí 30 phút gọi,,,Có,V90B HN4 gửi 290
MXH100,Trả trước,,100000,30,0,1,0,30,,,,"Gói MXH100 dài hạn miễn phí thả ga truy cập không giới hạn mạng xã hội Facebook, TikTok, YouTube, TV360",Có,MXH100 gửi 191
3MXH100,Trả trước,,300000,90,0,1,0,90,,,,"Gói MXH100 dài hạn miễn phí thả ga truy cập không giới hạn mạng xã hội Facebook, TikTok, YouTube, TV360",Có,3MXH100 gửi 191
6MXH100,Trả trước,,600000,180,0,1,0,180,,,,"Gói MXH100 dài hạn miễn phí thả ga truy cập không giới hạn mạng xã hội Facebook, TikTok, YouTube, TV360",Có,6MXH100 gửi 191
12MXH100,Trả trước,,1200000,360,0,1,0,360,,,,"Gói MXH100 dài hạn miễn phí thả ga truy cập không giới hạn mạng xã hội Facebook, TikTok, YouTube, TV360",Có,12MXH100 gửi 191
V120B,Trả trước,,120000,30,0,"1,5",0,45,Miễn phí các cuộc gọi dưới 10 phút,Miễn phí 50 phút gọi,,,Có,V120B HN4 gửi 290
MXH120,Trả trước,,120000,30,0,1,0,30,Miễn phí các cuộc gọi dưới 10 phút,Miễn phí 30 phút gọi,,"Gói MXH100 dài hạn miễn phí thả ga truy cập không giới hạn mạng xã hội Facebook, TikTok, YouTube, TV360",Có,MXH120 HN4 gửi 290
